[1]	E. McCafferty, Introduction to corrosion science, Springer Science & Business Media, 2010.
[2]	M. Hosseini, A. Salam, H. Makhlouf, eds., Industrial applications for intelligent polymers and coatings, Springer New York, 2016.
[3]	E. McCafferty, Introduction to corrosion science, Springer Science & Business Media, 2010.
[4]	M. Hosseini, A. Salam, H. Makhlouf, eds., Industrial applications for intelligent polymers and coatings, Springer New York, 2016.
[5]	G.F. Hays, P.E.D. General, World corrosion organization, Corrodia. NACE International, Houston. (2010).
[6]	S. Pourhashem, A.M. Rashidi, M.R.V. Jezeh, Anti-corrosion nanocomposite coating, (2018).
[7]	D. V Andreeva, D.G. Shchukin, Smart self-repairing protective coatings, Materials Today. 11 (2008) 24–30.
[8]	Y. Zhao, W. Zhang, L. Liao, S. Wang, W. Li, Self-healing coatings containing microcapsule, Appl Surf Sci. 258 (2012) 1915–1918.
[9]	S. Akbaripoor, T. Nejad, E. Alibakhshi, B. Ramezanzadeh, S. Arash, M. Arjmand, M. Mahdavian, A novel nitrogen- and sulfur-grafted reduced graphene oxide doped with zinc cations for corrosion mitigation of mild steel, Prog Org Coat. 167 (2022) 106828. https://doi.org/10.1016/j.porgcoat.2022.106828.
[10]	B.J. Blaiszik, S.L.B. Kramer, S.C. Olugebefola, J.S. Moore, N.R. Sottos, S.R. White, Self-healing polymers and composites, Annu Rev Mater Res. 40 (2010) 179–211.
[11]	A. V Radhamani, H.C. Lau, S. Ramakrishna, Nanocomposite coatings on steel for enhancing the corrosion resistance: A review, J Compos Mater. 54 (2019) 681–701. https://doi.org/10.1177/0021998319857807.
[12]	J. Hong, J.Y. Han, H. Yoon, P. Joo, T. Lee, E. Seo, K. Char, B.-S. Kim, Carbon-based layer-by-layer nanostructures: from films to hollow capsules, Nanoscale. 3 (2011) 4515–4531.
[13]	T.W. Quadri, L.O. Olasunkanmi, O.E. Fayemi, E.E. Ebenso, Functionalized Carbon Allotropes as Corrosion Inhibitors, in: Functionalized Nanomaterials for Corrosion Mitigation: Synthesis, Characterization, and Applications, ACS Publications, 2022: pp. 87–114.
[14]	S. Pourhashem, E. Ghasemy, A. Rashidi, M.R. Vaezi, A review on application of carbon nanostructures as nanofiller in corrosion-resistant organic coatings, J Coat Technol Res. 17 (2020) 19–55.
[15]	J. Hong, J.Y. Han, H. Yoon, P. Joo, T. Lee, E. Seo, K. Char, B.-S. Kim, Carbon-based layer-by-layer nanostructures: from films to hollow capsules, Nanoscale. 3 (2011) 4515–4531.
[16]	T.W. Quadri, L.O. Olasunkanmi, O.E. Fayemi, E.E. Ebenso, Functionalized Carbon Allotropes as Corrosion Inhibitors, in: Functionalized Nanomaterials for Corrosion Mitigation: Synthesis, Characterization, and Applications, ACS Publications, 2022: pp. 87–114.
[17]	S. Pourhashem, E. Ghasemy, A. Rashidi, M.R. Vaezi, A review on application of carbon nanostructures as nanofiller in corrosion-resistant organic coatings, J Coat Technol Res. 17 (2020) 19–55.
[18]	R. Ding, S. Chen, J. Lv, W. Zhang, X. Zhao, J. Liu, X. Wang, T. Gui, B. Li, Y. Tang, Study on graphene modified organic anti-corrosion coatings: A comprehensive review, J Alloys Compd. 806 (2019) 611–635.
[19]	R. Ding, S. Chen, J. Lv, W. Zhang, X. Zhao, J. Liu, X. Wang, T. Gui, B. Li, Y. Tang, Study on graphene modified organic anti-corrosion coatings: A comprehensive review, J Alloys Compd. 806 (2019) 611–635.
[20]	S. Akbaripoor, T. Nejad, E. Alibakhshi, B. Ramezanzadeh, S. Arash, M. Arjmand, M. Mahdavian, A novel nitrogen- and sulfur-grafted reduced graphene oxide doped with zinc cations for corrosion mitigation of mild steel, Prog Org Coat. 167 (2022) 106828. https://doi.org/10.1016/j.porgcoat.2022.106828.
[21]	S. Pourhashem, A. Rashidi, M.R. Vaezi, M.R. Bagherzadeh, Excellent corrosion protection performance of epoxy composite coatings filled with amino-silane functionalized graphene oxide, Surf Coat Technol. 317 (2017) 1–9.
[22]	B. Ramezanzadeh, S. Niroumandrad, A. Ahmadi, M. Mahdavian, M.H. Mohamadzadeh Moghadam, Enhancement of barrier and corrosion protection performance of an epoxy coating through wet transfer of amino functionalized graphene oxide, Corros Sci. 103 (2016) 283–304. https://doi.org/10.1016/j.corsci.2015.11.033.
[23]	S. Pourhashem, A. Rashidi, M.R. Vaezi, M.R. Bagherzadeh, Excellent corrosion protection performance of epoxy composite coatings filled with amino-silane functionalized graphene oxide, Surf Coat Technol. 317 (2017) 1–9.
[24]	G. Cui, Z. Bi, R. Zhang, J. Liu, X. Yu, Z. Li, A comprehensive review on graphene-based anti-corrosive coatings, Chemical Engineering Journal. 373 (2019) 104–121.
[25]	G. Cui, C. Zhang, A. Wang, X. Zhou, X. Xing, J. Liu, Z. Li, Q. Chen, Q. Lu, Research progress on self-healing polymer/graphene anticorrosion coatings, Prog Org Coat. 155 (2021) 106231.
[26]	H. Li, Y. Qiang, W. Zhao, S. Zhang, 2-Mercaptobenzimidazole-inbuilt metal-organic-frameworks modified graphene oxide towards intelligent and excellent anti-corrosion coating, Corros Sci. 191 (2021) 109715. https://doi.org/10.1016/j.corsci.2021.109715.
[27]	P. Sehrawat, S.S. Islam, P. Mishra, S. Ahmad, Reduced graphene oxide (rGO) based wideband optical sensor and the role of Temperature, Defect States and Quantum Efficiency, Sci Rep. 8 (2018) 1–13.
[28]	X.-F. Zhang, L. Song, Z. Wang, Y. Wang, L. Wan, J. Yao, Highly transparent graphene oxide/cellulose composite film bearing ultraviolet shielding property, Int J Biol Macromol. 145 (2020) 663–667.
[29]	S. Amrollahi, B. Ramezanzadeh, H. Yari, M. Ramezanzadeh, M. Mahdavian, Synthesis of polyaniline-modified graphene oxide for obtaining a high performance epoxy nanocomposite film with excellent UV blocking/anti-oxidant/ anti-corrosion capabilities, Compos B Eng. 173 (2019) 106804. https://doi.org/10.1016/j.compositesb.2019.05.015.
[30]	M. Mahmudzadeh, H. Yari, B. Ramezanzadeh, M. Mahdavian, Urtica dioica extract as a facile green reductant of graphene oxide for UV resistant and corrosion protective polyurethane coating fabrication, Journal of Industrial and Engineering Chemistry. 78 (2019) 125–136.
[31]	Z. Wang, P. Li, Y. Chen, J. He, W. Zhang, O.G. Schmidt, Y. Li, Pure thiophene-sulfur doped reduced graphene oxide: Synthesis, structure, and electrical properties, Nanoscale. 6 (2014) 7281–7287. https://doi.org/10.1039/c3nr05061k.
[32]	Q. Zhang, B.X. Wang, S. Chen, S.Y. Zhang, J. ming Hong, S edge/center-selectively doped graphene oxide for bisphenol A electro-degradation: Preparation, efficiency and mechanism, Chemical Engineering Journal. 420 (2021). https://doi.org/10.1016/j.cej.2020.127669.
[33]	M.E.H.N. Tehrani, M. Ramezanzadeh, G. Bahlakeh, B. Ramezanzadeh, S, P-codoped rGO-phytic acid-polythiophene core–shell; synthesis, modeling, and dual active–passive anti-corrosion performance of epoxy nanocomposite, Journal of Industrial and Engineering Chemistry. 103 (2021) 102–117. https://doi.org/10.1016/J.JIEC.2021.07.024.
[34]	P. Kanninen, N.D. Luong, J. Fl?rez-Monta?o, H. Jiang, E. Pastor, J. Sepp?l?, T. Kallio, Highly active platinum nanoparticles supported by nitrogen/sulfur functionalized graphene composite for ethanol electro-oxidation, Electrochim Acta. 242 (2017) 315–326.
[35]	Q. Zhang, B.X. Wang, S. Chen, S.Y. Zhang, J. Hong, S edge/center-selectively doped graphene oxide for bisphenol A electro-degradation: Preparation, efficiency and mechanism, Chemical Engineering Journal. 420 (2021) 127669.
[36]	P. Kanninen, N.D. Luong, J. Fl?rez-Monta?o, H. Jiang, E. Pastor, J. Sepp?l?, T. Kallio, Highly active platinum nanoparticles supported by nitrogen/sulfur functionalized graphene composite for ethanol electro-oxidation, Electrochim Acta. 242 (2017) 315–326.
[37]	M.E.H.N. Tehrani, M. Ramezanzadeh, G. Bahlakeh, B. Ramezanzadeh, S, P-codoped rGO-phytic acid-polythiophene core–shell; synthesis, modeling, and dual active–passive anti-corrosion performance of epoxy nanocomposite, Journal of Industrial and Engineering Chemistry. 103 (2021) 102–117. https://doi.org/10.1016/J.JIEC.2021.07.024.
